ID,testlogloss,trainlogloss,eta,nrounds,num_parallel_tree,max_depth,max_delta_step,colsample_bynode,colsample_bylevel,colsample_bytree,subsample,grow_policy,tree_method,booster,alpha,lambda,objective,with_pca,with_important_only,drop_ctl,DirectoryPath,c_pca_thresh
30,0.0194811877503098,,,300,,,,0.7,,,0.4,,,gblinear,0.0,2.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
31,0.0198336916494335,,,300,,,,0.7,,,0.4,,,gblinear,0.0,5.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
32,0.0191432174331918,,,300,,,,0.3,,,0.7,,,gblinear,0.0,1.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
33,0.0194811877501575,,,300,,,,0.3,,,0.7,,,gblinear,0.0,2.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
34,0.019833691649446,,,300,,,,0.3,,,0.7,,,gblinear,0.0,5.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
35,0.0176796625471139,,0.03,3000,1,1,0,0.5,0.5,1.0,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
36,0.019143217434553,,,300,,,,0.7,,,0.7,,,gblinear,0.0,1.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
37,0.0194811877500969,,,300,,,,0.7,,,0.7,,,gblinear,0.0,2.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
38,0.0235787128866149,,0.01,400,100,1,0,0.5,0.5,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
39,0.0198336916494211,,,300,,,,0.7,,,0.7,,,gblinear,0.0,5.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
40,0.0165835107027911,,0.05,300,4,2,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
41,0.0165770993369958,,0.05,200,10,2,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
